id,manifest,num,pages
3312696,https://www.digital.archives.go.jp/api/iiif/3312696/manifest.json,366-0085,126
5065598,https://www.digital.archives.go.jp/api/iiif/5065598/manifest.json,367-0009,126
4757116,https://www.digital.archives.go.jp/api/iiif/4757116/manifest.json,072-0001,125
4489613,https://www.digital.archives.go.jp/api/iiif/4489613/manifest.json,126-0002,125
4500933,https://www.digital.archives.go.jp/api/iiif/4500933/manifest.json,188-0001,125
4487393,https://www.digital.archives.go.jp/api/iiif/4487393/manifest.json,188-0001,125
4228804,https://www.digital.archives.go.jp/api/iiif/4228804/manifest.json,301-0029,125
4772197,https://www.digital.archives.go.jp/api/iiif/4772197/manifest.json,305-0234,125
4920071,https://www.digital.archives.go.jp/api/iiif/4920071/manifest.json,307-0040,125
4394973,https://www.digital.archives.go.jp/api/iiif/4394973/manifest.json,311-0114,125
3323118,https://www.digital.archives.go.jp/api/iiif/3323118/manifest.json,366-0081,125
5389645,https://www.digital.archives.go.jp/api/iiif/5389645/manifest.json,367-0008,125
5390616,https://www.digital.archives.go.jp/api/iiif/5390616/manifest.json,367-0079,125
4433332,https://www.digital.archives.go.jp/api/iiif/4433332/manifest.json,078-0009,124
4500939,https://www.digital.archives.go.jp/api/iiif/4500939/manifest.json,188-0001,124
1068169,https://www.digital.archives.go.jp/api/iiif/1068169/manifest.json,199-0003,124
4114680,https://www.digital.archives.go.jp/api/iiif/4114680/manifest.json,301-0027,124
4915813,https://www.digital.archives.go.jp/api/iiif/4915813/manifest.json,302-0132,124
4918747,https://www.digital.archives.go.jp/api/iiif/4918747/manifest.json,305-0069,124
4772466,https://www.digital.archives.go.jp/api/iiif/4772466/manifest.json,307-0028,124
4766862,https://www.digital.archives.go.jp/api/iiif/4766862/manifest.json,309-0196,124
3611001,https://www.digital.archives.go.jp/api/iiif/3611001/manifest.json,311-0187,124
3672779,https://www.digital.archives.go.jp/api/iiif/3672779/manifest.json,364-0067,124
3975244,https://www.digital.archives.go.jp/api/iiif/3975244/manifest.json,366-0078,124
5390399,https://www.digital.archives.go.jp/api/iiif/5390399/manifest.json,367-0052,124
5395373,https://www.digital.archives.go.jp/api/iiif/5395373/manifest.json,369-0033,124
4494737,https://www.digital.archives.go.jp/api/iiif/4494737/manifest.json,115-0003,123
4467086,https://www.digital.archives.go.jp/api/iiif/4467086/manifest.json,130-0001,123
4487538,https://www.digital.archives.go.jp/api/iiif/4487538/manifest.json,188-0001,123
593782,https://www.digital.archives.go.jp/api/iiif/593782/manifest.json,278-0001,123
4770426,https://www.digital.archives.go.jp/api/iiif/4770426/manifest.json,302-0010,123
4918000,https://www.digital.archives.go.jp/api/iiif/4918000/manifest.json,304-0303,123
4918639,https://www.digital.archives.go.jp/api/iiif/4918639/manifest.json,305-0043,123
4920285,https://www.digital.archives.go.jp/api/iiif/4920285/manifest.json,307-0158,123
4771230,https://www.digital.archives.go.jp/api/iiif/4771230/manifest.json,308-0086,123
3314323,https://www.digital.archives.go.jp/api/iiif/3314323/manifest.json,366-0035,123
3312705,https://www.digital.archives.go.jp/api/iiif/3312705/manifest.json,366-0085,123
3326240,https://www.digital.archives.go.jp/api/iiif/3326240/manifest.json,367-0051,123
5390620,https://www.digital.archives.go.jp/api/iiif/5390620/manifest.json,367-0079,123
4757108,https://www.digital.archives.go.jp/api/iiif/4757108/manifest.json,072-0001,122
4478686,https://www.digital.archives.go.jp/api/iiif/4478686/manifest.json,132-0005,122
3609877,https://www.digital.archives.go.jp/api/iiif/3609877/manifest.json,287-0100,122
4916227,https://www.digital.archives.go.jp/api/iiif/4916227/manifest.json,303-0001,122
4918122,https://www.digital.archives.go.jp/api/iiif/4918122/manifest.json,304-0307,122
1076488,https://www.digital.archives.go.jp/api/iiif/1076488/manifest.json,307-0200,122
5056810,https://www.digital.archives.go.jp/api/iiif/5056810/manifest.json,363-0238,122
5064875,https://www.digital.archives.go.jp/api/iiif/5064875/manifest.json,366-0041,122
5390270,https://www.digital.archives.go.jp/api/iiif/5390270/manifest.json,367-0046,122
4417678,https://www.digital.archives.go.jp/api/iiif/4417678/manifest.json,016-0016,121
4415392,https://www.digital.archives.go.jp/api/iiif/4415392/manifest.json,075-0001,121
4422955,https://www.digital.archives.go.jp/api/iiif/4422955/manifest.json,192-0004,121
4770430,https://www.digital.archives.go.jp/api/iiif/4770430/manifest.json,302-0010,121
4918180,https://www.digital.archives.go.jp/api/iiif/4918180/manifest.json,304-0309,121
1075684,https://www.digital.archives.go.jp/api/iiif/1075684/manifest.json,307-0073,121
5055127,https://www.digital.archives.go.jp/api/iiif/5055127/manifest.json,310-0154,121
3672650,https://www.digital.archives.go.jp/api/iiif/3672650/manifest.json,364-0067,121
5065240,https://www.digital.archives.go.jp/api/iiif/5065240/manifest.json,366-0077,121
